epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.8747,3.01519,6.50632,4.26771,0.00035,0.09614,0.0002,6e-05,5.08908,12.0131,4.18704,0.000648649,0.000648649,0.000648649
2,143.49,2.63602,4.26502,3.33016,0.00038,0.03439,0.00021,7e-05,5.04341,5.16988,4.04225,0.00122772,0.00122772,0.00122772
3,213.551,2.35733,2.90543,2.56099,0.27427,0.34737,0.25702,0.06752,2.59764,2.52142,2.38109,0.00171798,0.00171798,0.00171798
4,284.016,2.24862,2.40537,2.29811,0.22555,0.34456,0.18661,0.04765,2.58462,4.48897,2.28727,0.0016004,0.0016004,0.0016004
5,355.718,2.17594,2.0589,2.1717,0.38677,0.53999,0.3666,0.10639,2.46303,5.35155,2.26689,0.0014672,0.0014672,0.0014672
6,446.205,2.09495,1.79545,2.06722,0.54497,0.52982,0.4669,0.1349,2.52179,1.91884,2.13597,0.001334,0.001334,0.001334
7,515.149,2.04013,1.66631,2.02864,0.54396,0.55228,0.46474,0.13866,2.42201,1.77478,2.04144,0.0012008,0.0012008,0.0012008
8,584.863,1.99042,1.53322,1.96684,0.68035,0.57404,0.58675,0.18474,2.38248,1.65429,2.04572,0.0010676,0.0010676,0.0010676
9,673.636,1.9353,1.4821,1.93646,0.62799,0.57929,0.54064,0.17013,2.45108,1.75373,2.0712,0.0009344,0.0009344,0.0009344
10,742.273,1.89756,1.39121,1.89252,0.67407,0.66037,0.6558,0.23269,2.3524,1.5038,2.00219,0.0008012,0.0008012,0.0008012
11,810.293,1.82386,1.32081,1.83,0.69734,0.64675,0.66284,0.21465,2.33746,1.48289,1.98089,0.000668,0.000668,0.000668
12,898.445,1.76946,1.24251,1.78826,0.67106,0.6807,0.64628,0.23385,2.34242,1.4927,1.9974,0.0005348,0.0005348,0.0005348
13,965.009,1.70799,1.17489,1.73808,0.74132,0.6878,0.66642,0.23597,2.32108,1.51866,2.00695,0.0004016,0.0004016,0.0004016
14,1033.8,1.63443,1.11126,1.68282,0.69901,0.70105,0.64327,0.23112,2.35338,1.41508,1.98508,0.0002684,0.0002684,0.0002684
15,1124.78,1.56914,1.07467,1.64412,0.69689,0.67789,0.6358,0.2254,2.38143,1.42199,1.98685,0.0001352,0.0001352,0.0001352
