epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1573,2.92618,6.61623,4.29369,0.00036,0.09895,0.0002,6e-05,4.95724,11.5442,4.19105,0.000648649,0.000648649,0.000648649
2,58.9239,2.51384,4.06544,3.10027,0.0001,0.00702,5e-05,1e-05,4.89048,4.61959,4.20891,0.00130218,0.00130218,0.00130218
3,87.1378,2.31711,2.87049,2.5092,0.23654,0.12912,0.09044,0.02206,3.23704,2.72431,2.79817,0.00194238,0.00194238,0.00194238
4,116.055,2.24101,2.25477,2.28243,0.25753,0.29754,0.16572,0.0469,2.66767,3.00955,2.29657,0.00194006,0.00194006,0.00194006
5,144.413,2.11128,1.89426,2.11656,0.44566,0.56022,0.38685,0.10694,2.50089,3.46545,2.29385,0.00192008,0.00192008,0.00192008
6,173.226,2.08229,1.72132,2.04066,0.41956,0.45404,0.32478,0.10187,2.45041,2.10172,2.13761,0.0019001,0.0019001,0.0019001
7,201.452,2.0179,1.5542,1.97013,0.51919,0.59332,0.51543,0.15553,2.45017,2.15588,2.03566,0.00188012,0.00188012,0.00188012
8,229.991,1.96448,1.50618,1.94416,0.51919,0.55439,0.44251,0.12561,2.40423,2.59491,2.17084,0.00186014,0.00186014,0.00186014
9,258.109,1.95159,1.44529,1.90746,0.61526,0.56491,0.56986,0.19036,2.36145,1.85496,2.03838,0.00184016,0.00184016,0.00184016
10,286.52,1.85545,1.35716,1.84595,0.63344,0.55579,0.54156,0.16105,2.38551,1.86625,2.10154,0.00182018,0.00182018,0.00182018
11,314.918,1.81573,1.326,1.82382,0.50265,0.6414,0.50119,0.15542,2.31762,1.88634,2.13046,0.0018002,0.0018002,0.0018002
12,343.207,1.76629,1.26728,1.77168,0.54688,0.64491,0.49305,0.16826,2.3709,1.77909,2.03134,0.00178022,0.00178022,0.00178022
13,371.083,1.74565,1.21737,1.75623,0.59708,0.68702,0.58475,0.18805,2.39568,1.62699,2.10736,0.00176024,0.00176024,0.00176024
14,398.99,1.70283,1.18782,1.72311,0.61274,0.65845,0.56131,0.18508,2.31207,1.6346,2.00078,0.00174026,0.00174026,0.00174026
15,426.726,1.67366,1.15328,1.68385,0.64138,0.64772,0.6371,0.23661,2.2519,1.53054,1.94354,0.00172028,0.00172028,0.00172028
16,455.587,1.62393,1.13252,1.65263,0.50593,0.56913,0.45598,0.14293,2.43266,1.95259,2.17911,0.0017003,0.0017003,0.0017003
17,484.555,1.57963,1.10195,1.64364,0.58341,0.68402,0.59365,0.20158,2.30014,1.50924,1.99048,0.00168032,0.00168032,0.00168032
18,512.888,1.56426,1.07257,1.61184,0.64076,0.66175,0.59531,0.18532,2.42626,1.53897,2.13673,0.00166034,0.00166034,0.00166034
19,541.518,1.50877,1.0241,1.57815,0.63042,0.69825,0.62042,0.20802,2.39546,1.46169,2.06466,0.00164036,0.00164036,0.00164036
20,570.262,1.48864,1.02,1.55986,0.59864,0.67931,0.63548,0.21972,2.28372,1.53282,2.08202,0.00162038,0.00162038,0.00162038
21,599.059,1.44827,0.98401,1.53804,0.56618,0.66035,0.53464,0.17348,2.37115,1.53475,2.12298,0.0016004,0.0016004,0.0016004
22,627.99,1.39848,0.95555,1.50802,0.65977,0.65333,0.62162,0.21832,2.33067,1.48692,2.03496,0.00158042,0.00158042,0.00158042
23,656.536,1.36959,0.9233,1.47171,0.67231,0.72912,0.63485,0.21174,2.31304,1.38474,2.12564,0.00156044,0.00156044,0.00156044
24,683.821,1.31739,0.89149,1.44504,0.67773,0.67591,0.61226,0.20676,2.33487,1.49767,2.11746,0.00154046,0.00154046,0.00154046
25,711.259,1.27327,0.84572,1.42529,0.6844,0.68281,0.64875,0.22284,2.35777,1.48824,2.06235,0.00152048,0.00152048,0.00152048
26,738.79,1.25602,0.84167,1.40611,0.63578,0.68982,0.59089,0.19706,2.33791,1.63326,2.13237,0.0015005,0.0015005,0.0015005
27,765.997,1.22192,0.81316,1.37157,0.70804,0.70457,0.65757,0.22935,2.35571,1.36292,2.10316,0.00148052,0.00148052,0.00148052
28,792.999,1.18316,0.80309,1.36158,0.71307,0.69062,0.64894,0.22876,2.32583,1.3662,2.07125,0.00146054,0.00146054,0.00146054
29,821.619,1.16929,0.78271,1.34361,0.6357,0.70456,0.64237,0.2136,2.34751,1.53475,2.15409,0.00144056,0.00144056,0.00144056
30,849.637,1.11778,0.75504,1.30774,0.68813,0.72002,0.6516,0.20778,2.38669,1.39806,2.26381,0.00142058,0.00142058,0.00142058
31,877.295,1.13652,0.74595,1.30526,0.70292,0.66947,0.65071,0.21285,2.39758,1.46109,2.15593,0.0014006,0.0014006,0.0014006
32,906.259,1.08978,0.73186,1.27769,0.74512,0.68315,0.67363,0.24473,2.31621,1.32987,2.08768,0.00138062,0.00138062,0.00138062
33,934.244,1.04879,0.70637,1.25537,0.66141,0.68702,0.629,0.21821,2.39983,1.42637,2.21194,0.00136064,0.00136064,0.00136064
34,962.412,1.01037,0.67769,1.22371,0.68818,0.73333,0.67922,0.24482,2.35925,1.3563,2.14801,0.00134066,0.00134066,0.00134066
35,990.611,1.01564,0.69128,1.22849,0.67121,0.72211,0.63763,0.22,2.3577,1.39048,2.32127,0.00132068,0.00132068,0.00132068
36,1019.84,1.00608,0.6767,1.2204,0.72214,0.72224,0.68348,0.25352,2.32001,1.26576,2.12248,0.0013007,0.0013007,0.0013007
37,1048.24,0.96476,0.65888,1.19137,0.69743,0.71509,0.66621,0.23304,2.40084,1.29527,2.21863,0.00128072,0.00128072,0.00128072
38,1076.67,0.94776,0.63587,1.18643,0.69724,0.70105,0.67316,0.23041,2.43319,1.40559,2.3117,0.00126074,0.00126074,0.00126074
39,1105.21,0.91666,0.62755,1.1611,0.67513,0.72912,0.66099,0.21798,2.38112,1.43435,2.3092,0.00124076,0.00124076,0.00124076
40,1133.23,0.8964,0.60562,1.15224,0.69457,0.68143,0.66073,0.24475,2.38436,1.35775,2.27262,0.00122078,0.00122078,0.00122078
41,1162.07,0.88328,0.60491,1.14172,0.68988,0.67439,0.64599,0.21339,2.40694,1.37828,2.28493,0.0012008,0.0012008,0.0012008
42,1190.27,0.85593,0.58663,1.11619,0.67919,0.70316,0.65076,0.21697,2.3597,1.42603,2.33539,0.00118082,0.00118082,0.00118082
43,1219.29,0.82769,0.573,1.108,0.73973,0.71228,0.6793,0.24393,2.35657,1.2336,2.26179,0.00116084,0.00116084,0.00116084
44,1247.54,0.7876,0.55012,1.08377,0.69328,0.71298,0.68335,0.23817,2.39219,1.32398,2.35237,0.00114086,0.00114086,0.00114086
45,1275.93,0.78517,0.54775,1.08007,0.67,0.67649,0.61872,0.20268,2.39468,1.45447,2.45561,0.00112088,0.00112088,0.00112088
46,1304.22,0.7975,0.53694,1.08253,0.70181,0.70175,0.67069,0.24405,2.3654,1.41377,2.37345,0.0011009,0.0011009,0.0011009
47,1331.9,0.77569,0.52756,1.06845,0.70011,0.71649,0.66712,0.24071,2.40265,1.30592,2.35129,0.00108092,0.00108092,0.00108092
48,1359.54,0.74311,0.50507,1.05117,0.71814,0.69965,0.66373,0.22582,2.40139,1.33986,2.42158,0.00106094,0.00106094,0.00106094
49,1387.74,0.72801,0.4997,1.04653,0.71807,0.70386,0.65901,0.24014,2.41748,1.28961,2.43593,0.00104096,0.00104096,0.00104096
50,1415.52,0.72554,0.49755,1.04353,0.72033,0.69768,0.66719,0.23463,2.42542,1.32283,2.39493,0.00102098,0.00102098,0.00102098
51,1443.33,0.69194,0.4779,1.02316,0.69653,0.7214,0.66827,0.24473,2.36408,1.35884,2.40557,0.001001,0.001001,0.001001
52,1470.66,0.66549,0.46339,1.00589,0.71877,0.70307,0.66403,0.24637,2.42815,1.28683,2.40885,0.00098102,0.00098102,0.00098102
53,1497.97,0.67408,0.4673,1.00987,0.71042,0.71439,0.67192,0.23548,2.38112,1.35709,2.44416,0.00096104,0.00096104,0.00096104
54,1524.77,0.63644,0.45141,0.99024,0.73419,0.69684,0.6748,0.24535,2.38281,1.29261,2.41406,0.00094106,0.00094106,0.00094106
55,1551.8,0.6386,0.44927,0.99405,0.6919,0.7013,0.64519,0.23132,2.38867,1.39318,2.46851,0.00092108,0.00092108,0.00092108
56,1579.13,0.61141,0.4305,0.97894,0.69971,0.69985,0.6664,0.24749,2.41038,1.28041,2.47883,0.0009011,0.0009011,0.0009011
57,1607.47,0.61673,0.42719,0.97451,0.71187,0.70105,0.68456,0.23716,2.44283,1.27571,2.51149,0.00088112,0.00088112,0.00088112
58,1635.02,0.59444,0.41911,0.96786,0.73301,0.68982,0.66385,0.24067,2.39425,1.32973,2.48371,0.00086114,0.00086114,0.00086114
59,1663.47,0.58668,0.41622,0.95861,0.70823,0.71579,0.65828,0.23065,2.37437,1.38418,2.59504,0.00084116,0.00084116,0.00084116
60,1691.05,0.5626,0.40557,0.95044,0.70396,0.70085,0.65749,0.23148,2.4158,1.3268,2.49269,0.00082118,0.00082118,0.00082118
61,1719.83,0.52835,0.38493,0.93702,0.72808,0.69614,0.66887,0.23769,2.41002,1.3473,2.53584,0.0008012,0.0008012,0.0008012
62,1749.05,0.53531,0.3818,0.93783,0.72594,0.71368,0.67061,0.24279,2.38945,1.33527,2.52606,0.00078122,0.00078122,0.00078122
63,1775.78,0.5337,0.37497,0.93463,0.71303,0.70877,0.66724,0.24282,2.41951,1.31249,2.60259,0.00076124,0.00076124,0.00076124
64,1805.61,0.52761,0.37436,0.9298,0.72284,0.66987,0.67808,0.24529,2.39101,1.38042,2.60413,0.00074126,0.00074126,0.00074126
65,1835.2,0.50641,0.36609,0.92309,0.68743,0.70068,0.65241,0.22539,2.41014,1.36436,2.67836,0.00072128,0.00072128,0.00072128
66,1863.06,0.49256,0.3597,0.91454,0.72557,0.70319,0.6861,0.25188,2.39673,1.27584,2.58109,0.0007013,0.0007013,0.0007013
67,1890.29,0.48334,0.35254,0.90878,0.70575,0.69347,0.65922,0.23661,2.43483,1.32521,2.58274,0.00068132,0.00068132,0.00068132
68,1918.19,0.46035,0.3393,0.90284,0.72225,0.70255,0.67042,0.24405,2.4094,1.36841,2.57755,0.00066134,0.00066134,0.00066134
69,1945.28,0.4633,0.33791,0.90141,0.69511,0.70035,0.65969,0.22907,2.42427,1.39523,2.67342,0.00064136,0.00064136,0.00064136
70,1972,0.44574,0.32822,0.89499,0.72306,0.71579,0.68545,0.25325,2.39876,1.32884,2.58884,0.00062138,0.00062138,0.00062138
71,1998.63,0.44535,0.32614,0.89284,0.71264,0.69123,0.67724,0.24881,2.43218,1.34171,2.62706,0.0006014,0.0006014,0.0006014
72,2025.67,0.44222,0.32121,0.89035,0.69151,0.70943,0.67251,0.2427,2.41892,1.37967,2.65175,0.00058142,0.00058142,0.00058142
73,2053.14,0.42546,0.31708,0.88725,0.69684,0.69362,0.66131,0.24069,2.40356,1.39385,2.59365,0.00056144,0.00056144,0.00056144
74,2080.5,0.41897,0.31012,0.88205,0.71686,0.72351,0.68981,0.25365,2.4104,1.32623,2.59812,0.00054146,0.00054146,0.00054146
75,2107.78,0.4095,0.30488,0.87938,0.68474,0.70737,0.66236,0.24542,2.3924,1.39091,2.62697,0.00052148,0.00052148,0.00052148
76,2134.86,0.40277,0.30304,0.87929,0.72436,0.69895,0.67127,0.24503,2.41569,1.33707,2.64863,0.0005015,0.0005015,0.0005015
77,2162.02,0.3949,0.29872,0.87467,0.69381,0.70105,0.66548,0.24991,2.40499,1.34187,2.59949,0.00048152,0.00048152,0.00048152
78,2189.04,0.38541,0.29121,0.8702,0.71814,0.68281,0.66316,0.24289,2.39152,1.42019,2.58642,0.00046154,0.00046154,0.00046154
79,2215.94,0.36542,0.28231,0.86547,0.71025,0.70526,0.68283,0.25371,2.38357,1.41976,2.59507,0.00044156,0.00044156,0.00044156
80,2243.66,0.36886,0.27662,0.86219,0.70472,0.67719,0.66491,0.24613,2.40183,1.44519,2.61294,0.00042158,0.00042158,0.00042158
81,2270.57,0.36138,0.27611,0.85868,0.7013,0.69474,0.67136,0.25104,2.39776,1.37016,2.60229,0.0004016,0.0004016,0.0004016
82,2297.65,0.34664,0.27136,0.85814,0.71266,0.70526,0.68043,0.24466,2.39112,1.43907,2.6794,0.00038162,0.00038162,0.00038162
83,2324.96,0.3399,0.2687,0.85585,0.70024,0.69684,0.65752,0.24229,2.40749,1.42598,2.62905,0.00036164,0.00036164,0.00036164
84,2352.49,0.32699,0.25776,0.85091,0.71195,0.69754,0.66302,0.24359,2.39337,1.43778,2.69949,0.00034166,0.00034166,0.00034166
85,2379.75,0.32209,0.25468,0.84926,0.71533,0.70008,0.6721,0.25041,2.39498,1.39084,2.67352,0.00032168,0.00032168,0.00032168
86,2407.07,0.30751,0.24745,0.84532,0.72311,0.68,0.66663,0.24625,2.40575,1.43244,2.67629,0.0003017,0.0003017,0.0003017
87,2434.21,0.30351,0.24327,0.84262,0.72471,0.69333,0.67768,0.25195,2.40154,1.41202,2.65522,0.00028172,0.00028172,0.00028172
88,2462.3,0.29617,0.24114,0.84293,0.72054,0.70596,0.68003,0.24739,2.39588,1.46425,2.66745,0.00026174,0.00026174,0.00026174
89,2489.69,0.29256,0.23549,0.8393,0.73412,0.6814,0.67441,0.24615,2.39898,1.46789,2.68113,0.00024176,0.00024176,0.00024176
90,2517.56,0.28787,0.23394,0.83801,0.71217,0.72351,0.6869,0.24951,2.40629,1.4323,2.69469,0.00022178,0.00022178,0.00022178
91,2544.69,0.27896,0.2276,0.83536,0.71661,0.68495,0.67052,0.24657,2.40815,1.47772,2.6857,0.0002018,0.0002018,0.0002018
92,2572.27,0.26964,0.22293,0.83485,0.70164,0.69974,0.66953,0.24759,2.40374,1.49475,2.7067,0.00018182,0.00018182,0.00018182
