epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,41585.3,0.64484,0.42091,0.98515,0.87833,0.86386,0.90013,0.50122,1.64511,0.72807,1.57152,0.00118082,0.00118082,0.00118082
43,41670.4,0.62541,0.41029,0.97417,0.88268,0.87646,0.90455,0.50903,1.64529,0.70586,1.58267,0.00116084,0.00116084,0.00116084
44,41755,0.61541,0.40438,0.96487,0.87257,0.86971,0.90603,0.51373,1.63175,0.72444,1.57229,0.00114086,0.00114086,0.00114086
45,41844.2,0.58573,0.39132,0.9522,0.90473,0.86596,0.91027,0.508,1.63678,0.70891,1.59499,0.00112088,0.00112088,0.00112088
46,41933.5,0.57408,0.38123,0.94451,0.88137,0.87587,0.91187,0.5133,1.62758,0.72898,1.58514,0.0011009,0.0011009,0.0011009
47,42024.1,0.56693,0.37511,0.93996,0.89276,0.87048,0.91346,0.51111,1.6555,0.72437,1.6003,0.00108092,0.00108092,0.00108092
48,42115.9,0.5525,0.37089,0.93012,0.87278,0.87298,0.90484,0.50868,1.64433,0.72337,1.6204,0.00106094,0.00106094,0.00106094
49,42208.5,0.53728,0.36068,0.92227,0.88874,0.88351,0.91033,0.51304,1.64381,0.71379,1.61643,0.00104096,0.00104096,0.00104096
50,42302.7,0.52793,0.35639,0.91708,0.88936,0.86877,0.90813,0.51981,1.63469,0.72582,1.60289,0.00102098,0.00102098,0.00102098
51,42397,0.50484,0.34407,0.90806,0.88271,0.8814,0.91016,0.52243,1.62548,0.70928,1.61416,0.001001,0.001001,0.001001
52,42492.9,0.49836,0.33734,0.90336,0.88289,0.88882,0.9111,0.52236,1.63124,0.70075,1.62344,0.00098102,0.00098102,0.00098102
53,42587.7,0.47388,0.32744,0.89332,0.88478,0.8793,0.91236,0.51558,1.63194,0.71075,1.63645,0.00096104,0.00096104,0.00096104
54,42683.7,0.46973,0.32503,0.89011,0.89086,0.86807,0.90828,0.5121,1.63588,0.7119,1.63332,0.00094106,0.00094106,0.00094106
55,42778.5,0.45741,0.32038,0.88352,0.88641,0.8793,0.91436,0.51993,1.63322,0.71026,1.63765,0.00092108,0.00092108,0.00092108
56,42872.4,0.45264,0.31445,0.881,0.90043,0.87088,0.91763,0.52123,1.64029,0.7135,1.64986,0.0009011,0.0009011,0.0009011
57,42966.2,0.4344,0.30574,0.87322,0.89075,0.87439,0.90852,0.52047,1.63379,0.71435,1.65966,0.00088112,0.00088112,0.00088112
58,43059.9,0.42752,0.30145,0.86914,0.89186,0.87389,0.91367,0.52471,1.62956,0.71618,1.66082,0.00086114,0.00086114,0.00086114
59,43149.2,0.42482,0.29788,0.86904,0.88469,0.87762,0.91552,0.52152,1.63834,0.72416,1.67547,0.00084116,0.00084116,0.00084116
60,43235.2,0.41186,0.29087,0.86282,0.89922,0.87158,0.912,0.52398,1.62135,0.71176,1.6575,0.00082118,0.00082118,0.00082118
61,43321.3,0.40048,0.28588,0.86054,0.89983,0.87649,0.91414,0.52691,1.62267,0.71586,1.67574,0.0008012,0.0008012,0.0008012
