epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.4871,2.91857,6.61875,4.30665,0.00036,0.09825,0.0002,6e-05,5.09132,11.9488,4.19245,0.000648649,0.000648649,0.000648649
2,132.067,2.51281,4.01677,3.10108,0.0003,0.03298,0.00017,6e-05,5.04846,5.83215,4.24176,0.00122772,0.00122772,0.00122772
3,196.328,2.30414,2.80566,2.44817,0.53515,0.1955,0.19017,0.04455,2.80628,3.0716,2.81048,0.00171798,0.00171798,0.00171798
4,261.598,2.20663,2.31288,2.24053,0.28879,0.39649,0.16822,0.04092,2.61533,2.80764,2.26441,0.0016004,0.0016004,0.0016004
5,327.136,2.09325,1.8936,2.09403,0.52359,0.53404,0.45826,0.12761,2.54713,1.83062,2.16611,0.0014672,0.0014672,0.0014672
6,413.652,2.02144,1.67819,2.0153,0.55386,0.59158,0.53942,0.16354,2.41667,1.69795,2.06637,0.001334,0.001334,0.001334
7,476.613,1.93536,1.50714,1.95109,0.54801,0.53193,0.51563,0.14221,2.46262,1.74681,2.05503,0.0012008,0.0012008,0.0012008
8,540.548,1.89553,1.42087,1.91419,0.67533,0.65123,0.64381,0.2009,2.3996,1.50845,2.03164,0.0010676,0.0010676,0.0010676
9,628.42,1.80389,1.34398,1.8547,0.68739,0.60842,0.60376,0.18955,2.44313,1.65613,2.02697,0.0009344,0.0009344,0.0009344
10,695.462,1.78039,1.26374,1.81941,0.69779,0.61193,0.60628,0.19524,2.40471,1.62859,2.07431,0.0008012,0.0008012,0.0008012
11,761.265,1.68894,1.1736,1.74934,0.69114,0.67649,0.63465,0.19671,2.3346,1.49847,2.03543,0.000668,0.000668,0.000668
12,846.454,1.62519,1.13737,1.70774,0.74538,0.70877,0.68998,0.24088,2.30824,1.47776,2.00295,0.0005348,0.0005348,0.0005348
13,911.763,1.53911,1.05197,1.65861,0.72145,0.71431,0.66357,0.21704,2.33737,1.4232,2.01852,0.0004016,0.0004016,0.0004016
14,978.248,1.46435,0.99533,1.60683,0.7388,0.69053,0.66684,0.22359,2.35283,1.44141,2.04816,0.0002684,0.0002684,0.0002684
15,1063.55,1.39151,0.954,1.55532,0.76605,0.72211,0.70557,0.24391,2.3471,1.38244,2.03292,0.0001352,0.0001352,0.0001352
