epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.8183,3.0375,6.38387,4.24123,0.00036,0.09825,0.0002,6e-05,5.09104,11.8335,4.16844,0.000648649,0.000648649,0.000648649
2,149.629,2.81639,4.60448,3.50414,0.0003,0.03298,0.00017,6e-05,4.91311,4.76665,3.59932,0.00122772,0.00122772,0.00122772
3,234.301,2.46549,3.36791,2.6917,0.33981,0.42667,0.25623,0.06478,2.56012,8.69529,2.51418,0.00171798,0.00171798,0.00171798
4,312.031,2.33811,2.74511,2.37337,0.11014,0.48,0.08028,0.02267,2.71156,4.39109,3.26261,0.0016004,0.0016004,0.0016004
5,387.531,2.26632,2.30136,2.18974,0.54189,0.33825,0.41629,0.13083,2.43236,3.18959,2.13415,0.0014672,0.0014672,0.0014672
6,484.812,2.1982,2.05127,2.09045,0.50611,0.49333,0.44767,0.1402,2.45295,2.47076,2.07868,0.001334,0.001334,0.001334
7,561.278,2.12347,1.82828,2.0674,0.51016,0.3986,0.40384,0.13877,2.40256,2.1371,1.92499,0.0012008,0.0012008,0.0012008
8,635.225,2.05312,1.76153,1.98594,0.64186,0.43012,0.47764,0.15519,2.44971,2.26209,1.98661,0.0010676,0.0010676,0.0010676
9,732.5,2.00408,1.61412,1.93917,0.59765,0.54316,0.59501,0.20631,2.37045,1.51469,1.88357,0.0009344,0.0009344,0.0009344
10,810.215,1.92542,1.50704,1.87316,0.56138,0.56561,0.56582,0.2003,2.33123,1.65189,1.8933,0.0008012,0.0008012,0.0008012
11,886.299,1.88394,1.39163,1.83786,0.5253,0.53754,0.52549,0.19918,2.2709,1.86344,1.86934,0.000668,0.000668,0.000668
12,984.854,1.81958,1.36527,1.78173,0.71634,0.55298,0.60048,0.23014,2.29797,1.63295,1.86614,0.0005348,0.0005348,0.0005348
13,1064.65,1.7667,1.30231,1.74244,0.67979,0.61082,0.60797,0.23195,2.26892,1.61977,1.83652,0.0004016,0.0004016,0.0004016
14,1141.58,1.71726,1.21431,1.70469,0.69245,0.58807,0.62256,0.2378,2.3103,1.60871,1.86481,0.0002684,0.0002684,0.0002684
15,1240.04,1.66356,1.16939,1.66657,0.72176,0.6014,0.60841,0.23074,2.33359,1.68124,1.87557,0.0001352,0.0001352,0.0001352
