epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.768,3.2995,4.77427,4.22412,0.00036,0.09895,0.0002,6e-05,5.09,11.6196,4.15507,0.000648649,0.000648649,0.000648649
2,189.352,2.88232,3.76777,3.50138,0.00045,0.05053,0.00025,7e-05,4.97927,6.40063,4.20564,0.00122772,0.00122772,0.00122772
3,304.986,2.61119,2.91918,2.76503,0.28596,0.29895,0.20449,0.04048,2.82386,3.37044,2.44873,0.00171798,0.00171798,0.00171798
4,399.177,2.45271,2.51666,2.47866,0.55404,0.49193,0.4277,0.11935,2.4988,5.04053,2.1996,0.0016004,0.0016004,0.0016004
5,493.729,2.3855,2.32844,2.33751,0.42752,0.63158,0.52083,0.15106,2.37858,10.1014,2.17047,0.0014672,0.0014672,0.0014672
6,573.674,2.10087,1.9762,2.09538,0.252,0.45614,0.20227,0.05932,2.54569,3.31526,2.13254,0.001334,0.001334,0.001334
7,654.042,2.04635,1.73874,2.04414,0.6696,0.53825,0.556,0.17059,2.35906,1.62534,1.98067,0.0012008,0.0012008,0.0012008
8,757.822,1.99931,1.64195,1.98997,0.54443,0.52912,0.47139,0.14725,2.33334,1.72177,1.93571,0.0010676,0.0010676,0.0010676
9,837.034,1.92106,1.53391,1.92574,0.69066,0.59694,0.56851,0.18585,2.42399,1.63578,2.00255,0.0009344,0.0009344,0.0009344
10,913.463,1.87591,1.38704,1.8886,0.59684,0.62332,0.53562,0.17824,2.46209,1.58104,2.00247,0.0008012,0.0008012,0.0008012
11,1018.52,1.85067,1.35229,1.85408,0.65093,0.64644,0.59326,0.19909,2.3384,1.473,1.94293,0.000668,0.000668,0.000668
12,1099.94,1.81123,1.31548,1.82896,0.68936,0.66526,0.62158,0.20127,2.35228,1.40655,1.92743,0.0005348,0.0005348,0.0005348
13,1176.31,1.79249,1.27141,1.81921,0.68182,0.73123,0.64838,0.21813,2.33218,1.46259,1.92284,0.0004016,0.0004016,0.0004016
14,1278.65,1.72344,1.21178,1.75806,0.69534,0.68071,0.60818,0.19163,2.35486,1.48596,1.94603,0.0002684,0.0002684,0.0002684
15,1356.22,1.70772,1.16493,1.74467,0.70423,0.70877,0.64441,0.21227,2.35454,1.4511,1.92058,0.0001352,0.0001352,0.0001352
