epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.5683,3.34572,5.54005,4.24517,0.00036,0.09754,0.0002,6e-05,5.08768,11.8775,4.17333,0.000648649,0.000648649,0.000648649
2,155.055,2.9959,4.01564,3.52839,0.00039,0.10596,0.00023,7e-05,4.99427,6.45564,4.00232,0.00122772,0.00122772,0.00122772
3,229.71,2.78229,3.11201,2.89549,0.29257,0.25053,0.15811,0.0383,2.62105,3.11181,2.31208,0.00171798,0.00171798,0.00171798
4,305.168,2.59443,2.72879,2.6411,0.39394,0.38175,0.24943,0.06155,2.74235,4.44354,2.37509,0.0016004,0.0016004,0.0016004
5,391.693,2.57778,2.43926,2.51382,0.47018,0.58246,0.36246,0.09682,2.53785,5.73615,2.33949,0.0014672,0.0014672,0.0014672
6,474.356,2.26617,2.09278,2.30718,0.39778,0.48702,0.34427,0.10196,2.61642,1.8347,2.18257,0.001334,0.001334,0.001334
7,552.502,2.17551,1.90482,2.22976,0.44074,0.56772,0.37338,0.09947,2.59979,1.99378,2.22209,0.0012008,0.0012008,0.0012008
8,656.701,2.13803,1.81545,2.17861,0.56313,0.57123,0.50247,0.14673,2.38683,1.73889,2.02107,0.0010676,0.0010676,0.0010676
9,736.382,2.12012,1.76261,2.1169,0.55374,0.62035,0.49293,0.14248,2.4646,1.72369,2.10792,0.0009344,0.0009344,0.0009344
10,814.527,2.0662,1.64625,2.09715,0.58565,0.57825,0.51938,0.17351,2.43431,1.74154,2.10683,0.0008012,0.0008012,0.0008012
11,915.902,2.02983,1.49582,2.04327,0.52822,0.62105,0.44736,0.14326,2.58599,1.66372,2.15603,0.000668,0.000668,0.000668
12,994.079,2.02825,1.51474,2.0586,0.58088,0.58947,0.46773,0.1395,2.51838,1.59186,2.09293,0.0005348,0.0005348,0.0005348
13,1068.91,1.98617,1.44548,2.01086,0.67847,0.72411,0.64319,0.20824,2.34156,1.49834,1.98782,0.0004016,0.0004016,0.0004016
14,1164.79,1.93463,1.37797,1.9454,0.70575,0.68505,0.61753,0.19528,2.43862,1.43696,2.01852,0.0002684,0.0002684,0.0002684
15,1236.72,1.94401,1.35039,1.95938,0.66817,0.70792,0.60221,0.19687,2.40122,1.43555,2.02374,0.0001352,0.0001352,0.0001352
