epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.8735,2.99691,6.52718,4.28378,0.00036,0.09754,0.0002,6e-05,5.08888,11.9481,4.18535,0.000648649,0.000648649,0.000648649
2,148.132,2.57814,4.13901,3.18451,0.00027,0.03088,0.00017,6e-05,5.08179,5.969,4.0903,0.00122772,0.00122772,0.00122772
3,220.293,2.36748,2.9653,2.46544,0.13741,0.20632,0.06581,0.01505,2.92589,2.64165,2.62545,0.00171798,0.00171798,0.00171798
4,293.278,2.27063,2.38129,2.23896,0.4288,0.48772,0.35743,0.09476,2.48608,2.4281,2.03741,0.0016004,0.0016004,0.0016004
5,366.062,2.17548,2.07285,2.12199,0.62245,0.55018,0.51534,0.13962,2.58319,2.82718,2.22766,0.0014672,0.0014672,0.0014672
6,460.083,2.13872,1.85903,2.04291,0.50622,0.53333,0.452,0.12551,2.49728,3.04051,2.22666,0.001334,0.001334,0.001334
7,531.238,2.02376,1.65125,1.97013,0.51624,0.58947,0.44424,0.14183,2.51154,1.68162,2.04675,0.0012008,0.0012008,0.0012008
8,606.494,1.98309,1.56944,1.90448,0.64386,0.62316,0.59403,0.16377,2.51945,1.565,1.97851,0.0010676,0.0010676,0.0010676
9,699.536,1.92211,1.46929,1.86069,0.66607,0.63408,0.58597,0.19052,2.39942,1.58785,1.96602,0.0009344,0.0009344,0.0009344
10,770.202,1.8468,1.37492,1.79971,0.66589,0.71579,0.64895,0.23741,2.32352,1.45845,1.87805,0.0008012,0.0008012,0.0008012
11,839.123,1.79078,1.29637,1.75753,0.61558,0.71357,0.62546,0.20795,2.28994,1.56993,1.90711,0.000668,0.000668,0.000668
12,930.656,1.73674,1.23003,1.71576,0.71983,0.69193,0.67343,0.22882,2.29353,1.48789,1.8946,0.0005348,0.0005348,0.0005348
13,1000.74,1.69749,1.17286,1.68791,0.73393,0.7414,0.69237,0.24955,2.29549,1.37744,1.89524,0.0004016,0.0004016,0.0004016
14,1070.4,1.60072,1.09996,1.62955,0.70596,0.70877,0.67348,0.23453,2.26902,1.46324,1.89194,0.0002684,0.0002684,0.0002684
15,1162,1.5477,1.07596,1.6056,0.72837,0.73404,0.68938,0.24941,2.2793,1.38108,1.87374,0.0001352,0.0001352,0.0001352
