epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.4345,3.64578,8.1216,4.36768,0.00034,0.09263,0.00019,6e-05,5.08756,11.8809,4.18013,0.000648649,0.000648649,0.000648649
2,155.783,3.15068,4.91414,3.61676,0.0003,0.02877,0.00017,6e-05,5.11606,6.03026,4.37078,0.00122772,0.00122772,0.00122772
3,229.762,2.95466,3.86133,3.11462,0.10507,0.32772,0.06032,0.01546,2.9188,3.94698,2.95921,0.00171798,0.00171798,0.00171798
4,309.34,2.89609,3.49078,3.0611,0.11398,0.38807,0.09251,0.02368,2.99407,37.4941,2.95827,0.0016004,0.0016004,0.0016004
5,389.048,2.76956,3.03797,2.83828,0.0772,0.47789,0.05363,0.01232,3.00088,9.65707,3.15042,0.0014672,0.0014672,0.0014672
6,487.078,2.73088,3.42947,2.75473,0.35199,0.4094,0.27124,0.06977,2.72033,2.36775,2.43736,0.001334,0.001334,0.001334
7,563.753,2.84162,3.13713,2.9008,0.27664,0.10596,0.06349,0.01523,2.96184,4.80899,2.47583,0.0012008,0.0012008,0.0012008
8,646.172,2.83294,3.04275,2.85929,0.29441,0.52772,0.29374,0.08109,2.69645,3.61433,2.2747,0.0010676,0.0010676,0.0010676
9,745.566,2.74668,2.70263,2.72145,0.36565,0.51439,0.34859,0.09096,2.61947,2.01334,2.14499,0.0009344,0.0009344,0.0009344
10,822.417,2.74404,2.65644,2.71008,0.3019,0.4014,0.2246,0.06034,2.78395,2.14571,2.31438,0.0008012,0.0008012,0.0008012
11,901.647,2.68257,2.73036,2.74902,0.32717,0.48351,0.30078,0.08103,2.74096,2.02405,2.27035,0.000668,0.000668,0.000668
12,1011.21,2.67482,2.54385,2.75221,0.35762,0.52842,0.30493,0.08493,2.81297,2.27889,2.24648,0.0005348,0.0005348,0.0005348
13,1092.03,2.57071,2.49701,2.61896,0.37728,0.54035,0.37679,0.10992,2.5949,1.99709,2.13872,0.0004016,0.0004016,0.0004016
14,1170.43,2.57762,2.43663,2.58859,0.42553,0.60351,0.38761,0.11241,2.49879,1.93401,2.0717,0.0002684,0.0002684,0.0002684
15,1265.77,2.58139,2.38674,2.52691,0.39564,0.53474,0.32354,0.09358,2.54022,1.96881,2.085,0.0001352,0.0001352,0.0001352
