epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.7138,3.35122,5.52252,4.25818,0.00036,0.09965,0.00021,7e-05,5.08461,12.0546,4.18387,0.000648649,0.000648649,0.000648649
2,150.768,2.98665,3.91062,3.43461,0.00046,0.05053,0.00025,7e-05,5.02219,5.65305,4.14403,0.00122772,0.00122772,0.00122772
3,225.552,2.80735,3.10556,2.8737,0.20585,0.2386,0.13198,0.02797,2.737,3.7295,2.5475,0.00171798,0.00171798,0.00171798
4,302.303,2.6461,2.63532,2.58682,0.42911,0.43789,0.3131,0.08998,2.63506,4.60235,2.39407,0.0016004,0.0016004,0.0016004
5,378.162,2.59268,2.36361,2.47442,0.24587,0.29404,0.14204,0.03748,2.65209,3.72923,2.26687,0.0014672,0.0014672,0.0014672
6,473.638,2.25395,2.1536,2.27491,0.4193,0.55435,0.38153,0.11976,2.45919,1.79804,2.11419,0.001334,0.001334,0.001334
7,543.565,2.20859,1.92624,2.21108,0.45309,0.60696,0.40922,0.11767,2.55772,1.66028,2.11138,0.0012008,0.0012008,0.0012008
8,617.407,2.16226,1.77471,2.11611,0.4058,0.44982,0.32509,0.09858,2.435,1.83145,1.9459,0.0010676,0.0010676,0.0010676
9,716.283,2.14442,1.70105,2.05769,0.39336,0.57474,0.37071,0.11242,2.60103,1.8435,2.16559,0.0009344,0.0009344,0.0009344
10,792.185,2.11756,1.59212,2.05249,0.59529,0.66947,0.61097,0.2064,2.38437,1.58056,1.98923,0.0008012,0.0008012,0.0008012
11,862.926,2.05487,1.52362,2.01384,0.5947,0.67445,0.55244,0.17059,2.39951,1.64936,2.02472,0.000668,0.000668,0.000668
12,953.923,2.03583,1.52151,1.99557,0.67089,0.65661,0.6112,0.20584,2.30252,1.48959,1.92056,0.0005348,0.0005348,0.0005348
13,1023.18,1.99309,1.42345,1.92937,0.61922,0.64477,0.53187,0.17905,2.36358,1.4738,1.94715,0.0004016,0.0004016,0.0004016
14,1094.01,1.95519,1.37464,1.9019,0.66979,0.64195,0.55539,0.18782,2.43119,1.43225,1.96686,0.0002684,0.0002684,0.0002684
15,1184.17,1.95425,1.32358,1.8916,0.66288,0.68,0.6025,0.20729,2.40386,1.42144,1.94921,0.0001352,0.0001352,0.0001352
