epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.9263,3.39067,5.60782,4.23074,0.00036,0.09825,0.0002,6e-05,5.10229,11.9507,4.18597,0.000648649,0.000648649,0.000648649
2,150.09,3.02932,4.05834,3.41302,0.0003,0.02526,0.00016,5e-05,5.05704,6.17127,4.21952,0.00122772,0.00122772,0.00122772
3,223.893,2.67942,3.02844,2.73632,0.43975,0.36632,0.30529,0.08686,2.59884,2.4352,2.25848,0.00171798,0.00171798,0.00171798
4,298.54,2.56761,2.65277,2.53537,0.18483,0.46807,0.14258,0.03715,2.54763,7.81884,2.45045,0.0016004,0.0016004,0.0016004
5,370.985,2.48123,2.34758,2.37166,0.74171,0.53806,0.52499,0.16986,2.41209,2.70659,2.07588,0.0014672,0.0014672,0.0014672
6,461.441,2.13901,1.96686,2.11943,0.34642,0.25123,0.20418,0.06779,2.47818,3.32825,2.13362,0.001334,0.001334,0.001334
7,528.624,2.06885,1.72862,2.04551,0.66956,0.54877,0.53186,0.16334,2.31915,1.9301,2.01305,0.0012008,0.0012008,0.0012008
8,596.083,1.98792,1.60059,1.97013,0.72645,0.53895,0.56239,0.1773,2.43992,1.6847,2.07127,0.0010676,0.0010676,0.0010676
9,686.211,1.95992,1.50051,1.92391,0.55148,0.58175,0.51762,0.15562,2.40345,1.74525,1.93191,0.0009344,0.0009344,0.0009344
10,755.851,1.89006,1.38164,1.87087,0.75028,0.65895,0.6619,0.23517,2.32375,1.49294,1.94019,0.0008012,0.0008012,0.0008012
11,823.077,1.82458,1.30246,1.81346,0.73284,0.67439,0.65192,0.21444,2.2751,1.57515,1.9155,0.000668,0.000668,0.000668
12,912.315,1.77753,1.28496,1.78759,0.72032,0.67298,0.65515,0.23194,2.27612,1.48567,1.89853,0.0005348,0.0005348,0.0005348
13,982.043,1.73011,1.20231,1.75438,0.7391,0.70105,0.68706,0.25062,2.22236,1.38988,1.87897,0.0004016,0.0004016,0.0004016
14,1053.66,1.65297,1.13925,1.69256,0.75234,0.71158,0.68977,0.24735,2.30039,1.36013,1.93728,0.0002684,0.0002684,0.0002684
15,1144.93,1.6016,1.08247,1.65898,0.76015,0.72949,0.70441,0.26073,2.26433,1.36895,1.91086,0.0001352,0.0001352,0.0001352
