epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.811,3.44197,4.09257,4.20034,0.00036,0.09895,0.00021,6e-05,5.08962,12.6253,4.15857,0.000648649,0.000648649,0.000648649
2,226.874,3.00951,3.32667,3.41589,0.00048,0.13263,0.0005,0.00016,4.60421,4.62493,3.33903,0.00122772,0.00122772,0.00122772
3,335.986,2.79302,2.84455,2.87477,0.11026,0.36211,0.07063,0.01681,3.05155,11.9914,2.38313,0.00171798,0.00171798,0.00171798
4,443.801,2.63273,2.59401,2.58812,0.41259,0.45263,0.33105,0.09354,2.64957,7.5755,2.1897,0.0016004,0.0016004,0.0016004
5,549.174,2.50078,2.38161,2.38817,0.41651,0.39158,0.29375,0.09177,2.58517,4.66215,2.0637,0.0014672,0.0014672,0.0014672
6,624.706,2.04655,2.10241,2.04777,0.47334,0.50456,0.3697,0.10495,2.53505,2.14049,2.05699,0.001334,0.001334,0.001334
7,722.12,1.98946,1.79187,1.99042,0.55183,0.62947,0.54006,0.15757,2.42546,2.28501,2.00892,0.0012008,0.0012008,0.0012008
8,798.062,1.97508,1.61938,1.98901,0.62061,0.6407,0.53957,0.1567,2.3919,1.95657,1.94614,0.0010676,0.0010676,0.0010676
9,873.341,1.92404,1.49553,1.92411,0.64898,0.67228,0.57523,0.16196,2.45946,1.62217,1.99919,0.0009344,0.0009344,0.0009344
10,970.74,1.8957,1.43777,1.88772,0.69124,0.67158,0.63083,0.20772,2.38577,1.55072,1.93497,0.0008012,0.0008012,0.0008012
11,1045.36,1.87565,1.34984,1.88463,0.60427,0.66596,0.53564,0.15571,2.47264,1.77245,2.00351,0.000668,0.000668,0.000668
12,1119.68,1.81425,1.328,1.83443,0.66495,0.68772,0.6186,0.21344,2.37308,1.46016,1.8995,0.0005348,0.0005348,0.0005348
13,1214.38,1.79118,1.25291,1.82018,0.71826,0.70386,0.67205,0.2211,2.32005,1.48262,1.87921,0.0004016,0.0004016,0.0004016
14,1288.62,1.75427,1.19585,1.77327,0.72819,0.70501,0.67185,0.22296,2.34567,1.4444,1.88067,0.0002684,0.0002684,0.0002684
15,1361.41,1.74198,1.15787,1.75659,0.75853,0.73263,0.68633,0.22,2.38994,1.4053,1.9052,0.0001352,0.0001352,0.0001352
