epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.289,3.34546,5.52654,4.24652,0.00036,0.09754,0.0002,6e-05,5.08584,12.4626,4.18168,0.000648649,0.000648649,0.000648649
2,177.055,3.04735,3.94682,3.50133,0.00037,0.10105,0.00026,9e-05,5.0065,6.84641,4.0919,0.00122772,0.00122772,0.00122772
3,281.075,2.83243,3.09245,2.91045,0.26632,0.15368,0.13385,0.02657,2.77505,3.12545,2.45462,0.00171798,0.00171798,0.00171798
4,371.973,2.67954,2.79853,2.67679,0.15567,0.31368,0.07734,0.02064,2.91173,3.92525,2.46438,0.0016004,0.0016004,0.0016004
5,463.216,2.61204,2.45387,2.52112,0.50514,0.47134,0.42736,0.10964,2.59342,2.8188,2.20466,0.0014672,0.0014672,0.0014672
6,545.681,2.2573,2.19542,2.30122,0.43147,0.37193,0.32323,0.09306,2.66413,2.54959,2.19645,0.001334,0.001334,0.001334
7,625.261,2.2379,1.98041,2.24448,0.39583,0.49544,0.34924,0.10223,2.76843,1.88605,2.27115,0.0012008,0.0012008,0.0012008
8,727.201,2.21662,1.93798,2.21133,0.56017,0.53895,0.50299,0.15397,2.46742,1.99922,2.09147,0.0010676,0.0010676,0.0010676
9,806.849,2.15048,1.73086,2.10586,0.55345,0.53965,0.4603,0.14793,2.6091,1.86409,2.18265,0.0009344,0.0009344,0.0009344
10,886.084,2.10238,1.63058,2.10731,0.55676,0.57895,0.49911,0.17308,2.53486,1.64097,2.10466,0.0008012,0.0008012,0.0008012
11,987.48,2.06094,1.55611,2.04578,0.55942,0.60842,0.4893,0.15979,2.41335,1.6402,2.0206,0.000668,0.000668,0.000668
12,1066.93,2.06014,1.51632,2.05872,0.54743,0.61684,0.49164,0.16675,2.47392,1.57372,2.04936,0.0005348,0.0005348,0.0005348
13,1146.17,2.02167,1.44966,2.00476,0.6546,0.62386,0.55884,0.19068,2.31831,1.56315,1.94018,0.0004016,0.0004016,0.0004016
14,1247.79,1.97397,1.38565,1.95984,0.66881,0.64055,0.57455,0.18473,2.39428,1.49038,1.9694,0.0002684,0.0002684,0.0002684
15,1327.69,1.96579,1.37698,1.96561,0.66451,0.68802,0.58453,0.19891,2.37597,1.45784,1.95504,0.0001352,0.0001352,0.0001352
