epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.3789,3.42727,5.9874,4.26543,0.00036,0.09895,0.0002,6e-05,5.09029,11.9776,4.18282,0.000648649,0.000648649,0.000648649
2,155.765,3.07429,4.14683,3.55726,0.00047,0.03018,0.00074,0.00013,5.03514,6.13773,4.11693,0.00122772,0.00122772,0.00122772
3,256.229,2.79245,3.21345,2.93456,0.32167,0.30386,0.21157,0.05166,2.59684,4.04886,2.51967,0.00171798,0.00171798,0.00171798
4,346.01,2.71333,2.89762,2.74744,0.28894,0.46175,0.20034,0.06007,2.67352,2.42157,2.48126,0.0016004,0.0016004,0.0016004
5,430.441,2.63106,2.50036,2.51987,0.43368,0.37754,0.32911,0.08674,2.674,2.63303,2.45874,0.0014672,0.0014672,0.0014672
6,512.358,2.47065,2.32948,2.40249,0.30593,0.53636,0.24926,0.07122,2.60957,2.24245,2.21431,0.001334,0.001334,0.001334
7,595.571,2.41156,2.22145,2.3529,0.42235,0.52842,0.38584,0.11228,2.50858,2.15183,2.17131,0.0012008,0.0012008,0.0012008
8,678.481,2.38036,2.00022,2.25339,0.43181,0.45614,0.34198,0.09701,2.52019,1.87115,2.03789,0.0010676,0.0010676,0.0010676
9,758.619,2.31755,1.85206,2.19537,0.46471,0.59461,0.45152,0.12224,2.45132,1.95657,2.01722,0.0009344,0.0009344,0.0009344
10,840.561,2.2544,1.8224,2.17636,0.64543,0.57754,0.56117,0.17337,2.33582,1.82958,1.95708,0.0008012,0.0008012,0.0008012
11,919.111,2.24596,1.78863,2.17585,0.36651,0.55216,0.37384,0.12422,2.4108,1.9189,1.96338,0.000668,0.000668,0.000668
12,1003.49,2.20323,1.6626,2.12821,0.47141,0.58667,0.45284,0.13806,2.34406,1.80368,1.94785,0.0005348,0.0005348,0.0005348
13,1079.62,2.15825,1.65694,2.08292,0.50584,0.59838,0.49271,0.15115,2.32184,1.7891,1.90332,0.0004016,0.0004016,0.0004016
14,1178.48,2.12436,1.56521,2.03633,0.54565,0.62246,0.48991,0.14605,2.36956,1.73347,1.92087,0.0002684,0.0002684,0.0002684
15,1265.27,2.1066,1.52143,2.01871,0.54661,0.64,0.49119,0.15431,2.34877,1.65142,1.89173,0.0001352,0.0001352,0.0001352
